Sample ID,Date,Site,Seagrass,Amphipod,Cumacea,Tanaidacea,Mysida,Isopod,Decapod,Stomatopod,Calanoida,Cyclopoida,Harpacticoid,Naupaulis stage III,Naupaulis stage I: ,Ostracod,Appendicularia,Ascidiceans,Fish Larvae,Fish eggs,Nemotode,Chaetognath,Polychaete,Bivalve,Chiton,Snail Larvae
LB-SF,7/23/2020,LB,SF,3,0,3,0,0,1,0,12,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1
LB-SF,10/9/2020,LB,SF,0,0,2,0,0,5,0,4,8,3,0,0,3,3,1,0,3,0,0,1,37,0,1
LB-SF,2/15/2021,LB,SF,2,1,2,0,2,0,0,1,26,11,0,0,0,0,1,0,3,0,0,2,0,0,0
SB-SF,9/2/2021,SB,SF,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SB-SF,10/9/2020,SB,SF,0,1,0,0,0,0,0,16,1,8,0,0,1,0,1,0,0,0,0,1,1,0,2
SB-SF,7/23/2020,SB,SF,1,1,0,0,0,0,0,22,3,10,0,0,6,0,0,0,0,0,0,1,0,0,1
SB-SF,2/15/2021,SB,SF,4,1,0,0,3,4,0,3,3,3,0,0,8,0,0,0,0,0,0,2,0,0,0
SI-SF,4/30/2021,SB,SF,5,1,0,0,0,1,0,6,11,8,0,0,3,0,1,0,0,0,0,0,0,0,0
SI-SF,7/23/2020,SI,SF,1,0,0,0,0,0,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,2
SI-SF3,10/10/2020,SI,SF,0,0,0,0,0,0,0,1,0,3,0,0,6,0,1,0,0,0,0,0,0,0,2
SI-SF,4/30/2021,SI,SF,0,0,0,0,0,0,0,3,2,16,0,0,4,0,1,0,0,0,0,0,0,0,1
SI-SF,2/15/2021,SI,SF,1,0,0,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,1,0,0,0
SI-SF,10/10/2020,SI,SF,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0
SI-SF,7/23/2020,SI,SF,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SI-SF3,4/30/2021,SI,SF,1,0,1,0,1,0,0,0,0,8,0,0,3,2,1,2,84,1,0,0,0,0,0
FB-TT,2/15/2021,FB,TT,0,0,0,0,0,2,0,2,9,6,0,0,0,0,0,0,0,1,0,2,0,0,0
FB-TT,2/15/2021,FB,TT,0,0,0,0,0,0,0,1,3,6,0,0,1,0,0,0,0,1,0,0,0,0,0
FB-TT,10/9/2020,FB,TT,4,0,0,0,1,1,0,8,7,21,0,0,6,3,0,0,0,0,0,2,0,0,0
LB-TT,9/2/2021,LB,TT,0,0,4,0,0,4,0,12,10,36,0,0,4,11,0,0,0,3,0,5,0,0,6
LB-TT,10/9/2020,LB,TT,0,0,4,0,0,5,0,8,12,25,0,0,4,2,0,0,0,0,0,4,0,0,0
LB-TT,7/23/2020,LB,TT,1,0,11,0,0,4,0,19,11,16,0,1,2,7,1,0,0,0,0,5,0,0,3
LB-TT,2/15/2021,LB,TT,1,0,4,0,0,3,0,0,2,6,0,0,0,1,1,0,0,0,0,0,1,0,0
LB-TT,4/30/2021,LB,TT,0,0,3,0,0,0,0,15,3,9,0,0,3,5,0,0,0,0,0,3,0,0,0
SB-TT,4/30/2021,SB,TT,3,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SB-TT,4/30/2021,SB,TT,1,0,0,0,0,0,0,9,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0
SI-TT,4/30/2021,SI,TT,0,3,0,0,0,1,0,6,4,33,0,0,2,2,0,2,0,1,0,1,0,0,0
SI-TT1,7/23/2020,SI,TT,0,1,0,0,1,0,0,3,1,6,0,0,1,0,0,0,0,0,0,1,1,0,1
SI-TT3,7/23/2020,SI,TT,0,2,0,0,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2
SI-TT,10/9/2020,SI,TT,2,2,0,0,0,0,0,0,2,6,0,0,0,2,0,0,8,0,0,1,4,0,0
SI-TT,4/30/2021,SI,TT,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
SI-TT,10/9/2020,SI,TT,1,0,1,0,0,1,0,1,1,7,0,0,0,0,1,0,10,0,0,5,0,0,6
